针对商超会员日水果活动，供应商需提前准备以下关键事项：

1. **库存与选品确认**：  
   - 提前1-2周与商超确认活动水果品类（如应季爆款、会员特价品），保证备货充足。  
   - 按历史销量上浮30%-50%备货，避免断货。

2. **质量与包装优化**：  
   - 筛选优质果品，剔除瑕疵、腐烂风险果。  
   - 设计小包装或试吃装，适合会员随手购买；贴会员专属价签。

3. **物流与配送调整**：  
   - 加频送货：活动前1天及当天早间完成补货，确保冷鲜链不断。  
   - 准备好备用冷链车，应对突发爆单。

4. **人员与陈列支持**：  
   - 派出导购或促销员，提前培训活动话术（如推荐话术、会员价优势）。  
   - 搭建醒目堆头，配套价目牌、打折气球或“会员日专享”吊旗。

5. **价格与资质核对**：  
   - 提前校准商超POS系统内的会员价，确保扫脸/报号后自动打折。  
   - 备齐检疫证明、产地证明等，供商超合规检查。

6. **应急预案**：  
   - 准备替换品类（如A品种断货时，B品种快速顶上）。  
   - 预留部分损耗额度（如5%以内），并提前沟通商超的退换货规则。  

建议活动前3天进行一次现场沟通会，同步商超的最新要求。
