针对超市水果到货后发现品相不好的情况，售后流程的约定应当既保障供应商的利益，又维护超市的顾客满意度。以下是建议的约定流程，可按步骤明确：

### 一、售后责任界定
1. **品相标准**：在采购合同或订单中明确约定水果的等级（如特级、一级、二级）、允许的瑕疵范围（如碰伤、变色、软硬度）及参考图片。
2. **责任划分**：
   - 到货验收时发现：**供应商承担全部责任**（可拒收或按折扣付款）。
   - 到货后存放期间（如因超市储存不当）：**超市自行承担**。

### 二、具体售后流程
1. **到货即检（验收阶段）**：
   - 收货时由超市验收人员与供应商配送员共同开箱抽检（建议抽检比例≥10%）。
   - 发现品相较差的批次，当场拍照、记录，并填写《拒收/扣重单》。
   - 处理方式：
     - **拒收**：整批退回，运费由供应商承担。
     - **折价接收**：根据瑕疵程度协商折扣（如打8折、7折），并签字确认。

2. **到货后投诉（非即时）**：
   - 若消费者在货架发现品相问题，超市应先行下架处理，并保留好问题水果样品（拍照或冷藏封存）。
   - 超市需在**24小时内**向供应商提交《售后索赔通知》，附照片、批次号、数量、损失金额估算。
   - 供应商应在**48小时内**确认，给出补货或退款方案。

### 三、损失赔偿与补货约定
1. **赔偿方式（建议二选一）**：
   - **等值补货**：供应商按损失金额的1.2倍补新鲜水果，运费由供应商承担（弥补超市人工及上架成本）。
   - **退款**：按采购价全额退款，并额外支付采购金额的5%作为超市处理损耗的补偿。

2. **时间限制**：
   - 供应商必须在收到通知后**3个工作日内**补货或退款；逾期未响应，超市有权从应付货款中直接扣除，并按日加收0.5%滞纳金。

### 四、特殊情况与免责条款
- **不可抗力**：如运输途中遇极端天气导致进水/变质，需提前报备，保留物流证明，双方协商分担。
- **季节性自然起伏**：如夏季葡萄易脱粒，允许生鲜类产品有**1%-3%**的自然损耗率（在合同中写明），超出部分才触发售后。

### 五、建议执行操作（方便落地）
- 附上《品相验收对照表》，列明“果汁流失”“表皮褶皱”“颜色不均”等常见问题的合格/不合格判定标准。
- 设立微信工作群，售后沟通留痕，便于追溯，避免扯皮。

### 六、必要提示
- 请务必在合同或下单前将上述流程书面化，并让供应商签字确认。
- 若水果进超市后由第三方分拣或配送，分拣环节的标准可要求供应商提供操作规范，并将分拣差也纳入供应商责任范围。

如需更实用的模板（如《品相验收单》《售后索赔单》格式），可以告诉我，我可以直接为您起草。
