佳农（Goodfarmer）主要做香蕉、菠萝、椰青、牛油果等进口水果的批发和零售，售后政策和购买渠道关系很大，分几种情况说：

**一、不同渠道，售后不一样**

- **商超/水果店买的**：直接找门店退换，通常凭小票就能处理，最省事。
- **电商平台（京东/天猫/拼多多旗舰店）**：走平台售后流程，一般是拍照举证→客服审核→退款或补发。
- **社区团购/生鲜平台（如美团优选、多多买菜）**：走平台"坏果包赔"入口，通常要求收货后一定时间内申请。

**二、到货有坏果怎么处理（通用步骤）**

1. **先别急着扔**：坏果和包装、快递面单一起拍照，最好有整体+坏果特写，能看清数量和腐烂程度。这是举证的关键，扔了往往就说不清。
2. **尽快申请**：多数平台要求签收后24–48小时内申请，越早越好，拖久了容易被拒。
3. **走对应入口**：电商订单里选"申请售后/退款"，说明是坏果，上传照片；团购平台找"坏果包赔"。
4. **诉求选择**：一般可选**按坏果比例退款**或**补发**。量少通常退款，量大可要求补发。
5. **保留原包装**：部分情况需要寄回或核验，先别拆得太彻底。

**三、要注意的现实情况**

- 佳农属于品牌方/供货方，**具体售后是由卖给你的那个渠道执行的**，所以体验好坏取决于平台，不完全是佳农本身。
- 生鲜类普遍**不支持无理由退货**，但"坏果包赔"是行业通行做法，正常都能赔。
- 如果平台客服推诿，可以在订单里**申请平台介入**，或打平台官方客服，通常比跟店铺扯更有效。

**建议**：买之前先看清楚该渠道的坏果赔付规则（赔付比例、时限），到货第一时间开箱验货拍照，这样基本不会有太大纠纷。

如果你能说下具体是在哪个平台买的，我可以给你更针对性的处理路径。
