判断水果供应商的合规与稳定性，核心是分两块查：**合规是准入底线**（资质、票据、检测），**稳定性是履约能力**（货源、冷链、账期、应急）。养老院/医院对食品安全要求更高，建议按下面的清单逐项核验。

## 一、合规性核验（缺一不可）

**1. 主体资质**
- 营业执照（经营范围含食品/农产品销售）
- 食品经营许可证或食品生产许可证（预包装/散装食品必需）
- 若是种植基地直供：看土地/基地证明、合作社执照
- 索要加盖公章的复印件，并在"国家企业信用信息公示系统"核对是否真实、有无异常经营

**2. 产品合规文件（每批次）**
- **承诺达标合格证**（食用农产品上市的基本凭证）
- **农残检测报告**：优先要供货方自检报告，或第三方检测报告（CMA/CNAS资质）
- 进货票据/送货单，能追溯批次

**3. 高风险项重点查**
- 农药残留：叶菜、草莓、豇豆等高风险品种，要求高频检测
- 是否使用违禁保鲜剂、催熟剂、染色剂
- 进口水果需有入境货物检验检疫证明

**4. 内部制度**
- 有无食品安全管理制度、进货查验记录制度
- 能否配合你方留样、索证索票要求

## 二、稳定性评估（决定能不能长期合作）

**1. 货源能力**
- 是否有稳定基地/一级批发渠道，还是靠临时倒货
- 淡旺季、极端天气时能否保证供应（问其替代方案）
- 同一品种能否维持稳定的规格和品质

**2. 冷链与物流**
- 是否有冷藏车/冷库，运输温度能否记录
- 配送频次、到货时间是否固定，能否配合食堂备餐节奏
- 距离和配送半径，太远易损耗

**3. 履约与财务**
- 账期、结算方式是否合理（警惕要求大额预付）
- 有无履约保证金或合同约束
- 违约金、退换货、质量索赔条款是否明确

**4. 抗风险能力**
- 经营年限、注册资本、是否有多个稳定客户
- 有无被处罚、诉讼、失信记录
- 是否单一供货，建议**至少保留2家备选**避免断供

## 三、实操建议（最有效的方法）

1. **先小批量试供1–2个月**，按批次验收、记录，再决定是否长期签约。
2. **建立验收标准**：外观、规格、损耗率、农残抽检，白纸黑字写进合同。
3. **每批次索证索票**，留存合格证+检测报告+送货单，形成可追溯台账（监管检查必备）。
4. **定期复检**：自己或委托第三方抽检，别只信对方报告。
5. **现场考察**：去仓库/基地看冷链、分拣、储存条件，比看材料更真实。
6. **合同写清**：质量标准、退换货、赔偿、断供应急、账期、终止条件。

## 四、快速判断口诀

> **合规看三证一报告**（执照、许可证、合格证、检测报告）；
> **稳定看三力**（货源力、冷链力、抗风险力）；
> **合作看试供和合同**。

如果对方资质齐全、能每批提供合格证和检测报告、有冷链和稳定货源、愿意签质量与应急条款，基本可判为合格供应商；只要有一项含糊（尤其检测报告和冷链），就应谨慎或要求整改后再合作。
