大型超市对水果供应商的要求，通常比普通批发市场高很多。核心可以分成两块：**食品安全能力**和**物流履约能力**。下面按“必须具备”和“加分项”分开说，便于你判断自己或供应商是否达标。

---

## 一、食品安全能力（必须具备）

### 1. 合法资质与合规文件
- 营业执照、食品经营许可证/食品生产许可证（按实际业态）
- 若为进口水果：海关报关单、入境货物检验检疫证明
- 若做分装/初加工：对应生产许可或备案
- 产品检测报告：农残、重金属等，按超市要求定期提供

### 2. 农残与污染物控制
- 有稳定的基地或合作基地，能追溯到大棚/果园/批次
- 建立农药使用管理制度，禁止使用禁用农药
- 采收前有安全间隔期管理
- 每批次或定期送检，能提供第三方检测报告
- 能应对超市抽检不合格时的召回和整改

### 3. 追溯体系
- 批次号管理：从基地→加工→仓储→配送→门店可追溯
- 记录完整：采收日期、地块、投入品、检测、出入库
- 出现问题时能快速定位并召回

### 4. 加工与仓储卫生
- 分拣、包装区域清洁，防虫防鼠防尘
- 人员健康证、工服、手套、洗手消毒
- 冷链或不低于要求的温湿度环境
- 不同品类分开存放，避免交叉污染
- 腐烂果及时剔除，不能混入好果

### 5. 包装与标识合规
- 包装材料符合食品接触材料要求
- 标签信息完整：品名、产地、等级、净含量、日期、供应商等
- 按超市要求的条码、标签格式执行

### 6. 质量分级与验收标准
- 能按超市标准做大小、色泽、成熟度、糖度、缺陷率分级
- 接受超市验收规则：抽检比例、拒收标准、扣罚条款
- 有不合格品处理流程

### 7. 食品安全管理体系（加分但大超市常要求）
- ISO 22000、HACCP、GAP（良好农业规范）
- 有食品安全管理员和应急预案
- 定期培训记录

---

## 二、物流能力（必须具备）

### 1. 冷链能力
- 不同水果温区要求不同：
  - 香蕉、芒果等：13–15℃左右
  - 苹果、梨、葡萄等：0–4℃
  - 叶菜类水果如草莓：接近0–2℃
- 冷藏车、冷库、温控记录仪
- 运输途中温度可监控、可导出
- 断链应急处理能力

### 2. 仓储与库存管理
- 有常温库、冷藏库、必要时冷冻库
- 先进先出/效期管理
- 库存周转快，避免长期压货
- 能按超市订单做日配或隔日配

### 3. 配送时效
- 能覆盖超市门店或DC的配送半径
- 按约定时间窗口到货，迟到会影响收货
- 高峰期（节假日、促销）有加班和备用运力
- 能处理紧急补货、临时加单

### 4. 订单与信息化
- 能对接超市的订单系统/EDI/供应商平台
- 有WMS/TMS或至少进销存系统
- 能提供配送单、温控记录、检测报告随货或线上
- 能实时反馈缺货、延迟、质量异常

### 5. 装卸与门店交付
- 周转筐/托盘标准化，符合超市要求
- 卸货到指定区域，配合验收
- 退货、换货、补损流程清晰
- 门店投诉能快速响应

### 6. 损耗控制
- 运输损耗率在超市可接受范围
- 有防挤压、防冻伤、防日晒措施
- 能按品类做合理包装，减少磕碰
- 对高损耗品类有兜底方案

---

## 三、大超市通常还会额外要求

- **产能与稳定性**：能长期稳定供货，不是临时倒货
- **资金与账期承受力**：超市账期常见30–90天
- **保险**：产品责任险、运输险
- **召回与赔偿能力**：出现食品安全事件能承担
- **合规审计**：接受超市或第三方验厂
- **价格与成本控制**：有产地直采或稳定基地优势
- **多品类能力**：能供多个水果品类，或至少核心品类有优势

---

## 四、简单判断标准

如果一个水果供应商要进大型超市，至少应能回答“是”：

1. 能否提供每批次检测报告和追溯信息？
2. 是否有冷链车和冷库，温度能否记录？
3. 能否按超市订单准时配送到门店或DC？
4. 是否有固定基地或稳定采购渠道？
5. 是否接受验厂、抽检、退货和扣罚？
6. 是否有食品安全管理员和应急预案？
7. 能否承受较长账期和节假日高峰供货？

如果以上有3项以上做不到，基本很难长期合作；如果食品安全和冷链这两块缺失，通常连准入都过不了。
