通常情况下，水果采购合同中建议将**坏果率（腐烂、变质、严重机械损伤等不可食用的比例）超过 5%** 设置为要求赔付的阈值。具体建议如下：

1. **常规标准**：行业通用做法是坏果率 **超过5%**（即每100斤水果中超过5斤为坏果）时，采购方有权要求赔偿。部分高品质或高价水果（如进口车厘子、蓝莓等）会要求更高的标准（如3%以下）。
2. **分阶段赔付**：可约定阶梯式赔付比例，例如：
   - 坏果率5%-10%：按超出部分重量1:1补偿或按货值扣除对应款项；
   - 坏果率10%-20%：要求无条件退换货或按货值双倍赔偿；
   - 坏果率超过20%：视为严重违约，整批拒收并要求全额退款及赔偿损失。
3. **关键条款**：合同中必须明确：
   - **验收期限**（如到货后24小时内开箱检测）；
   - **坏果定义**（霉变、腐烂、严重萎蔫、明显虫咬）；
   - **抽样方法**（如随机抽取10%开箱，按总箱数比例折算）；
   - **争议处理**（双方共同检验或第三方检测机构介入）。

**建议**：为避免纠纷，可参考行业惯例（如《农产品购销合同示范文本》）或国家推荐标准（如GB/T 10651-2008鲜苹果等级标准中，一级果允许不超过5%的缺陷果），并在合同中将赔付比例明确写为“坏果率超过5%时，按实际超出比例的货值进行赔偿”。
