针对水果新品试卖，建议采用**“小批量、多频次、快反馈”**的策略，具体数量需结合以下三个维度来定：

**一、 基本参考值（按店铺/渠道规模）**

- **小型超市/社区店**：**1-2箱**（约10-20斤）。重点是试口味和本地接受度，避免积压损耗。
- **中型生鲜店/商超**：**3-5箱**（约30-60斤）。铺面陈列有充足感，同时留出调换余地。
- **大型连锁/电商**：**单店首批不超过总订货量的10%**，或**首批2-3天销量**。例如预估日销50斤，首批进100-150斤。

**二、 核心判断指标（不是死按数量，而是看周转）**

1. **看“开箱损耗”**：如果到货后24小时内坏果率>5%，立即停止补货，退回或要求降级。
2. **看“复购率”**：首批卖完后，若3天内第二次购买的顾客>10%，说明有潜力，可翻倍采购；若<5%，果断放弃。
3. **看“视觉新鲜度”**：如果放在水果区黄金位（入口第一排）2天内卖不完，说明吸引力不足，不要加量。

**三、 实操“避险”铁律**

- **签试销协议**：向供应商明确“试卖期”（如5-7天），约定卖不完可退换或按比例冲抵货款。
- **不要压货**：新品的“爆红”概率低于“遇冷”，宁可断货补单，也不要囤货打折。
- **价格锚点**：试卖时**不要打折**。用正价试水，若正价卖不动，说明定价或产品本身有问题，降价试卖会得到虚假繁荣的数据。

**结论**：如果你是中小采购方，**首批控制在5箱以内，一个完整的试销周期（约5-7天）**最稳。如果供应商强势要求“起订量”，则以“我只试卖一批，数据好直接翻五倍签月单”为谈判筹码，反而能争取更好的条件。
