针对家庭场景的水果礼盒，建议以「新鲜、耐放、口感丰富、方便食用」为核心。以下是可参考的组合方案，并附上简单理由：

### 组合一：经典健康家庭装（性价比最高）
- **苹果**：4个（红富士/嘎啦，红色为主，寓意平安）
- **橙子**：4个（甜橙，橙色为主，寓意心想事成）
- **香蕉**：1把（约5-6根）
- **菠萝**：1个（或切好的菠萝块，约500g）

**推荐理由**：
- 颜色：红、橙、黄、绿相间，视觉效果喜庆。
- 营养：苹果补纤维，橙子补维C，香蕉补钾，菠萝助消化。
- 食用：苹果和橙子可即食，香蕉软糯适合老人孩子，菠萝可做沙拉或餐后解腻。

### 组合二：清爽鲜切版（适合怕麻烦的家庭）
- **苹果**：2个（切块+保鲜盒装）
- **橙子**：2个（去皮分瓣）
- **菠萝**：半只（去芯切块，配竹签）
- **香蕉**：1把（整根，独立包装）

**推荐理由**：适合不想自己削皮的年轻人或双职工家庭，开盒即食，且避免菠萝和香蕉接触后变黑（菠萝用密封盒独立装）。

### 组合三：小份轻食版（适合2-3人小家庭）
- **苹果**：2个（小果）
- **橙子**：2个
- **香蕉**：2根（可用独立小包装）
- **菠萝**：菠萝粒（150g装）

**推荐理由**：控制总量，避免浪费；菠萝选用预切粒，降低单次购买成本。

---

### 关键提醒（避免踩坑）：
- 香蕉和菠萝**不要直接接触**，菠萝乙烯会催熟香蕉，导致香蕉过快变软发黑。建议用隔层纸或分格包装隔开。
- 如果团购价包含整只菠萝，务必提醒用户“回家需自行去皮”，否则部分家庭会因处理麻烦而嫌弃。
- 定价建议：苹果橙子可按斤称重打包，香蕉和菠萝做“搭头”赠品，既显份量又降低毛利率压力。

如果需要针对特定人群（如儿童、老人）调整，可以再补充具体组合。
