对于小水果店进货香蕉，建议按以下优先级考量，并给出一套可执行的标准：

**首选排序（针对日常补货）：**
1. **熟度**  
   - 香蕉是呼吸跃变型水果，熟度决定货架期和损耗。  
   - 建议选择“七至八成熟”（果皮青绿、微黄、手感硬挺）的货，这样在店里常温下能放2-4天，避免当天卖不出去就变黑。  
   - 如果送货距离远或天气热，宁可要六成熟，也别要全熟的。

2. **坏果率**  
   - 进货时当面开箱抽查，坏果率超过3%（即一箱30斤里超过1斤烂果）就直接拒收或要求折价。  
   - 注意检查“果柄发黑、表皮有黑斑渗水、果肉软塌”这三类伤，这可能传染整箱。

3. **价格**  
   - 价格影响利润，但不要因为便宜0.5元/斤而接受高熟度或高坏果率。  
   - 核心逻辑：**熟度和坏果率直接决定你的实际损耗成本**。比如便宜2毛/斤但坏果率多5%，实际亏更多。

4. **送货速度**  
   - 你不需要像大超市一样追求极速（当天到货），通常提前1天订单、次日早上到货即可。  
   - 但**必须确认送货方能否保证冷链或防压包装**（香蕉怕压），以及能否在固定时段送达（避免中午高温时到货）。

---

**给你一个具体的进货检查清单：**

- 问清**“几成熟”**，要求对方书面承诺（如“七成半”），到货后目测、手捏验证。
- 打开**2-3箱**抽查坏果率，用手机拍照记录，给对方留底。
- 谈好**“坏果折价条款”**（例如坏果超5%按每斤扣0.5元）。
- 如果店铺销量低，**小批量、高频次**进货（每周2次，每次少量），而不是一次性囤多箱。

---

**补充一句：** 如果预算非常有限，优先保熟度，其次保坏果率，价格可以退让。因为熟度错了香蕉全烂，价格错了顶多少赚一点。
