茶饮店在控制食品安全风险时，水果供应商需要提供以下关键证明和文件。建议你建立“供应商档案”，对每类材料进行归档并定期更新（通常每半年或一年复核一次）：

**1. 基础资质证明（必须）**
- **营业执照**：确认供应商具备合法经营主体资格。
- **食品经营许可证**：如供应商直接销售或分装水果，需持有此证（部分地区已合并为“食品生产许可证”或“食品流通许可证”，以当地规定为准）。
- **食品生产许可证（SC证）**：如果水果是预包装或经过初加工（如清洗、切块、杀菌），供应商必须持有此证。

**2. 质量与安全证明（核心）**
- **农药残留检测报告**：需有资质的第三方检测机构出具，且报告日期应在进货前3个月内（或供应商自检报告，但需提供检测方法及标准）。
- **重金属及污染物检测报告**：如铅、镉、汞、砷等，依据GB 2762标准。
- **致病菌检测报告**（如沙门氏菌、大肠杆菌）——若水果是鲜切或即食形式，此报告为强制项。
- **农残快速检测记录**：部分批发市场提供当日快速检测，可作为补充，但不能替代正式报告。

**3. 运输与储存证明（关键）**
- **冷链运输温度记录**：证明水果在运输全程保持适宜温度（如草莓、蓝莓需0-4℃；香蕉、芒果需10-15℃）。
- **运输车辆消毒记录**：车辆需定期清洁消毒，并提供记录。
- **仓储温度与湿度监控记录**：供应商仓库应有温湿度登记表。

**4. 溯源与合规文件（重要）**
- **进货票据（发票或销货清单）**：列明品名、规格、数量、日期，用于追溯。
- **产地证明**：来自特定产区或有机认证的，提供相应证明。
- **合格供应商声明**：供应商签署的“质量保证承诺书”，明确其责任。

**5. 特殊水果的附加要求（视情况）**
- **进口水果**：需提供海关出具的《入境货物检验检疫证明》及中文标签（注明原产地）。
- **有机/绿色认证水果**：提供认证证书（如中国有机产品认证）。
- **高风险水果**（如草莓、杨梅、树莓等易腐或带皮食用果）建议每批附随第三方农残快检报告。

---

**给你的实操建议：**

1. **建立“索证台账”**：每批进货时，要求供应商随货附上上述材料复印件（加盖公章），并登记建档。
2. **设置验收标准**：到货时核对报告编号、批号与实物是否一致，尤其注意检测日期是否在有效期内（通常3个月内）。
3. **批次化管理**：对同一供应商的同一品种，若超过1个月未更新报告，应停止进货并催促。
4. **合同约束**：在采购合同中明确“未提供合格证明的，不予验收；造成食品安全事故的，供应商承担全部责任”。
5. **备用供应商**：至少保持1-2家备选供应商，避免因证件问题中断经营。

**特别注意**：不同地区市场监管部门对水果的索证要求可能有细微差异（如部分城市要求鲜切水果必需SC证），建议你主动咨询当地市场监管局餐饮科，或登录“国家企业信用信息公示系统”核实供应商资质真伪。不要仅凭口头承诺或复印件接收货物。
