这个问题没有固定答案，因为**到货速度主要取决于产地、品类、你所在的批发市场、下单时间和物流方式**，而不是单看洪九还是鑫荣懋。两家都是头部水果供应链企业，覆盖面都很广。

可以按下面几个维度判断：

1. **看你在哪个市场**
   - 洪九果品：在西南、华东、华北不少批发市场铺得较深，尤其进口果、东南亚水果、部分国产精品果。
   - 鑫荣懋：在华南、华东、华北商超和批发渠道都很强，尤其佳沃系、进口水果、连锁商超供应链。
   - 如果你在华南，鑫荣懋通常更有优势；如果在西南或某些洪九重点布局的市场，洪九可能更快。

2. **看你拿什么货**
   - 进口果、东南亚果：洪九在某些单品上有优势。
   - 国产精品果、商超标准果、佳沃蓝莓/香蕉等：鑫荣懋可能更稳。
   - 同一品类不同产地，到货速度差异会很大。

3. **看是“市场现货”还是“产地直发”**
   - 如果你要的是批发市场档口现货，谁在当地有档口、有库存，谁就快。
   - 如果是产地直发，要看产地仓、冷链线路和排车时间，不能只比公司名气。

4. **最直接的办法**
   - 直接问当地批发市场里这两家的档口或业务员：
     - 今天/明天有没有货？
     - 从哪个仓发？
     - 到你们市场几点能提？
     - 起批量多少？
     - 是否含运费、损耗怎么算？
   - 同一天、同一单品、同一市场对比报价和到货时间，才有意义。

5. **实操建议**
   - 急拿货：优先选**当地市场有现货档口**的那家。
   - 长期拿货：不要只看速度，还要比**稳定性、损耗率、账期、退换货**。
   - 新合作：先小批量试单，别一上来压大货。
   - 如果两家都能到，直接让业务员报“到市场时间”和“提货时间”，谁具体谁靠谱。

结论：**不能简单说洪九快还是鑫荣懋快。你在哪个市场、拿什么货、要现货还是直发，决定了谁更快。**最稳的做法是同时问当地两家档口，按同一单品、同一到货地点、同一时间要求去比。
