建议采用以下分级报价方式，清晰易操作：

1. **按外观和成熟度分级（香蕉）：**
   - **一级（特级/精品）**：果形完整、无机械伤、无黑斑、成熟度适中（皮色金黄带绿），适合直接零售。
   - **二级（普通）**：允许少量斑点或轻微擦伤，成熟度稍高或稍低，适合快速销售或加工。
   - **三级（处理品）**：有明显疤痕、局部过熟或青涩，需低价促销或做馅料。
   - **报价方式**：例如“特级2.5元/斤，普通1.8元/斤，处理1.2元/斤”，或按箱报价（如每箱12kg，分级差价明确）。

2. **按品种和规格分级（菠萝）：**
   - **按品种**：如“金菠萝（甜蜜蜜）”与“普通菠萝（土菠萝）”分开报价。
   - **按重量/大小**：大果（>1.8kg）、中果（1.2-1.8kg）、小果（<1.2kg），价格递减。
   - **按品质**：无眼、果眼浅、成熟度均匀的为A级；有瑕疵或成熟度不一的为B级。
   - **报价方式**：例如“金菠萝A级大果12元/个，中果10元/个；普通菠萝B级小果5元/个”。

3. **通用建议：**
   - **按报价单表格**：列明等级、规格、单价（元/斤或元/个）、起批数量。
   - **注明可混装**：同一卡车可拼不同等级，方便小店灵活补货。
   - **长期合作优惠**：稳定订货量（如每周固定5箱）可给予等级折扣或免费调整。

最后，建议与每个小店当面明确分级标准（出示样品图片或实物），避免纠纷。
