佳农水果的配送时效取决于你下单的渠道和收货地址，没有一个统一的固定时间。可以分几种常见情况来判断：

1. **京东自营/京东超市**
   - 如果商品标有“京东物流”且你所在地区有京东仓覆盖，通常支持**次日达**，部分城市可做到**当日达**（上午下单、下午或晚上到）。
   - 具体以商品页显示的“预计送达时间”为准，生鲜类一般会标注配送时效。

2. **天猫/淘宝旗舰店**
   - 一般走顺丰、中通等快递，通常是**48小时内发货**，发货后**1-3天**送达。
   - 偏远地区可能延长到3-5天。生鲜水果有时会走顺丰冷链，时效相对稳定。

3. **美团/饿了么/朴朴/叮咚等即时零售**
   - 如果附近有前置仓或合作门店，通常是**30分钟到2小时**送达，属于即时配送。

4. **社区团购/多多买菜等**
   - 一般是**次日自提**，具体看团长和站点安排。

**判断方法：**
- 下单前看商品页的“配送”或“预计送达”说明；
- 看是否标注“京东物流”“顺丰冷链”“次日达”等；
- 生鲜水果对时效敏感，建议优先选本地仓或即时零售渠道。

如果你告诉我具体在哪个平台下单、收货城市是哪里，我可以帮你更具体地判断大概多久能到。
