关于佳农水果的香蕉产地溯源能否到具体农场，以及是否提供GLOBALG.A.P.证书，我无法实时核验其最新供应链信息，但可以提供以下基于行业通用情况的分析和建议：

1. **产地溯源能力**：  
   - 佳农作为大型水果供应商，通常具备从种植基地到销售端的完整追溯体系。其香蕉主要产自菲律宾、厄瓜多尔、柬埔寨等地，部分合作农场为自有或长期合作基地。  
   - **能否精确到具体农场**，取决于其内部管理系统的数据颗粒度。大型商超通常要求供应商提供“农场代码”或“批次号”以实现精准溯源，佳农作为行业头部企业，大概率具备此能力，但需以实际提供的信息为准。

2. **GLOBALG.A.P.证书**：  
   - GLOBALG.A.P.（全球良好农业操作规范）是国际通行的农业认证，商超要求该证书属于常见合规要求。  
   - 佳农作为出口型供应商，其主要种植基地（特别是自有或战略合作农场）一般已通过该认证。但**第三方采购或中小型农场**可能未覆盖，需确认具体批次对应的农场是否有此证书。

3. **行动建议**：  
   - **直接联系佳农官方**：通过其官网“联系方式”或客服热线，明确要求提供《产地溯源单》或《农场清单》，并索取GLOBALG.A.P.证书副本。大型企业通常设有“质量与合规部门”专门对接此类需求。  
   - **合同条款约束**：在采购合同中明确要求“每批次提供原产地证明和GLOBALG.A.P.证书”，并约定违约条款，以保障溯源合规。  
   - **验证证书真伪**：收到证书后，可登录GLOBALG.A.P.官网的“证书数据库”输入证书编号核验有效性，防止伪造。

4. **备选方案**：  
   - 若佳农无法满足特定农场的溯源要求，可要求其在供应协议中承诺“所有批次均可追溯至农场”，或提供替代的第三方检测报告（如SGS验厂报告）作为补充。  
   - 必要时可参考同类竞品（如菲律宾都乐、智利Lobo等）的溯源标准作为行业对标。

请以佳农官方回复为准，我提供的仅为一般性参考，不构成商业合同依据。
