和供应商谈合作时，为了避免旺季断货，你需要把谈判重心从“价格”转向“**供应保障能力**”。建议提前问清以下6类关键问题，并附上具体的追问话术：

**1. 产能与备货周期（核心）**
- 问：“旺季您的日均最大供货量是多少？提前几天下单才能保证足量出货？”
- 追问：“如果我要的量翻倍，您能提前多久调配货源？是否需要预付定金锁产能？”

**2. 缺货应急预案**
- 问：“如果我这边突然爆单，您最快多久能补上货？会不会有替代品种？”
- 追问：“万一您那边断供，能帮我紧急调货的备选渠道有哪些？是否接受临时加价？”

**3. 品质与损耗标准**
- 问：“到货后的损耗率承诺是多少？比如草莓、葡萄这类娇贵水果，坏果超过多少比例算您的责任？”
- 追问：“运输过程中出现挤压破损，是按斤赔付还是按件赔付？结款时直接扣除还是下批货抵扣？”

**4. 物流与时效**
- 问：“您用的是什么冷链物流？到我的店通常需要几个小时？如果堵车/天气原因延迟，谁来承担果品变质损失？”
- 追问：“是否能提供‘当天上午下单、次日上午到货’的加急服务？”

**5. 价格锁定与波动机制**
- 问：“旺季果价上涨时，您多久调一次价？有没有批量采购的锁价协议？”
- 追问：“如果签了季度合同，果价大跌时我是否必须按原价拿货？能否设置价格保护条款？”

**6. 售后与账期**
- 问：“现金结算和月结能享受一样的供货优先级吗？旺季能否放宽账期？”
- 追问：“出现质量问题后，理赔时效是多久？最长多久能到账？”

---

**额外避坑建议（非必问但重要）：**
- 要求供应商提供**最近两个旺季的客户配送记录**（证明有真实履约能力）。
- 在合同里写明 **“周结算”、“补货响应时间≤X小时”** 等量化条款，口头承诺无效。
- 旺季前两周试跑一次“小批量加急订单”，测试对方真实执行力。

**一句话总结：** 问清楚“超出现有需求时他能怎么办”，比问“他现在有什么”更重要。签约前务必实地考察一次对方的仓储或分拣现场。
