通常情况下，供应商是有可能为周末促销提供支持的，但具体支持力度取决于你的合作关系、进货量以及供应商的政策。以下是常见的支持方式及建议：

1. **价格支持**  
   - **短期折扣**：供应商可能针对特定水果（如当季热销品或库存压力大的商品）提供临时批发价优惠。  
   - **返利或赠品**：部分供应商会承诺销量达标后返还部分货款，或额外赠送一定数量的水果。  

2. **物料支持**  
   - **宣传物料**：例如海报、价格标签、展架、横幅等，供应商可能按一定比例提供（比如每进货1000元赠送一套）。  
   - **试吃或赠送品**：供应商可能提供小包装的试吃品或赠品，用于吸引顾客。  

3. **如何争取支持**  
   - **主动沟通**：明确告知促销计划（时间、主推品种、预期销量），询问是否有“周末特供”政策。  
   - **联合活动**：如果某类水果（如进口荔枝、智利车厘子）长期合作稳定，可协商“买一箱送一箱”或“满减补贴”。  

4. **注意事项**  
   - 不要只依赖口头承诺，尽量要求**书面或微信确认**支持内容。  
   - 如果供应商无法直接提供物料，可询问**印制海报的补贴**或**广告位资源**。  

**建议行动**：联系你的主要供应商，直接问：“下周六做促销，你们有没有针对这周末的临时折扣或赠品支持？需要我提供具体计划吗？” 多数供应商会愿意尝试合作，尤其是长期客户。
