大型超市水果供应商必须具备以下食品安全和物流能力：

### 一、食品安全能力
1. **合规资质**  
   - 营业执照、食品经营许可证等法定资质。  
   - 产品符合国家及地方食品安全标准（如GB 2763农药残留限量）。

2. **全链条品控**  
   - **源头管控**：对种植基地进行资质审核，确保农药、化肥使用合规；提供产地证明、检测报告。  
   - **过程管理**：种植、采摘、分拣、包装环节的标准化操作（如洁净环境、冷藏运输车辆温度记录）。  
   - **追溯体系**：建立可追溯系统，实现从产地到货架的全程信息可查（如批次、生产日期、运输记录）。

3. **检验检测**  
   - 每批次水果的农药残留、重金属、微生物等指标检测，并留存报告。  
   - 定期送检至第三方机构，确保数据真实有效。

4. **温控与卫生**  
   - 冷链运输中维持适宜温度（如苹果0-4℃、香蕉13-15℃），避免温度波动。  
   - 包装材料符合食品级标准，仓库防虫防鼠措施到位。

### 二、物流能力
1. **冷链物流系统**  
   - 配备专业冷藏车或恒温车，车厢内外温度实时监控并记录。  
   - 运输前预冷，避免水果在装载时升温。

2. **分拣与包装**  
   - 按成熟度、大小、等级分拣，避免混装（如破损水果污染健康果）。  
   - 使用气调包装、防震填充物等减少运输损耗。

3. **时效与覆盖**  
   - 明确配送时效（如48小时内从产地到超市）。  
   - 具备多区域配送能力，覆盖超市门店及中转仓。

4. **应急处理**  
   - 建立应急预案（如运输途中温控故障、品质异常时的快速替换方案）。  
   - 与超市实时共享物流信息，异常时及时响应。

### 三、超市需验证的要点
- 要求供应商提供：营业执照、食品经营许可证、每批次检测报告、冷链运输记录。  
- 实地考察供应商的仓储、分拣车间及冷链车辆，确认温控设备运行状态。  
- 合同中明确食品安全及物流责任条款，设置定期审查和退出机制。

建议超市选择具备ISO 22000食品安全管理体系认证或HACCP认证的供应商，并建立供应商淘汰制度。
