针对社区超市水果“既要新鲜、又要少库存”的难点，核心策略是**以销定采、小批量多频次，以及快速止损**。以下是可具体执行的操作方案：

### 一、进货源头控制（防患于未然）
1.  **只进“当季+本地”水果**：本地水果运输时间短，采摘成熟度更接近自然熟，损耗极低；反季水果（如冬季的西瓜、夏季的砂糖橘）库存风险极高，尽量不碰。
2.  **严格验货标准**：进货时一定要开箱抽查，看果柄是否新鲜翠绿、有无碰压伤、表皮有无水烂。**拒收**表面有“酒精味”（内部发酵）和软塌的果品。
3.  **与供应商签订“调换货”协议**：提前谈好，部分水果（如香蕉、芒果）在3天内出现大比例腐坏，供应商须换货或抵扣货款，这能把风险转嫁一部分出去。

### 二、动态库存与订货逻辑（核心在于“算”）
1.  **看天气预报订货**：雨雪天、大风天顾客不出门，订货量直接减半；周五、周六上午可多备20%-30%的走量款（如应季橘子、苹果）。
2.  **执行“3-7-7”分拣制度**：
    -   **3分**：每天早晚各一次，把烂果、坏果立刻挑出来，**绝不让一个坏果“传染”一筐好果**（乙烯催熟会导致整筐加速腐坏）。
    -   **7分**：挑出来的次果、微损果，**当天处理**——切果盒（5元/盒）、榨汁（成本价卖）或做特价（10元3斤）。
    -   **7天**：所有水果设定“7天新鲜周期”，超过5天的坚决打折清仓，不要舍不得。
3.  **小批量多批次**：坚决放弃“一次进一整车”的思路。对香蕉、葡萄这类易坏的，**2-3天进一次货**；对苹果、梨这类耐储存的，可以7天进一次。

### 三、门店陈列与保鲜技术（延长货架期）
1.  **“先进先出”物理隔离**：货架摆放时，**新货放底层/后面，旧货放顶层/前面**，防止旧货压箱底。
2.  **生熟分开**：苹果、香蕉会释放乙烯催熟其他水果，**绝不能混放**。
3.  **冰袋+湿毛巾**：
    -   绿叶菜和草莓、蓝莓等娇贵水果，底部铺冰袋，上面盖湿毛巾，能降低呼吸作用，延长1-2天新鲜度。
    -   香蕉、芒果**不要放冰箱**，但可以放在通风阴凉处，避免冻伤发黑。

### 四、极端清库存的“留客”组合拳
如果实在压货了，不要死扛，要快速变现：
1.  **“每日限时特价”**：选择每晚7点后，对当日剩余水果统一8折或5折，**清完即止**，反复强调“每天都是新鲜的”，培养顾客晚市来捡漏的习惯。
2.  **搭配销售**：把卖不完的苹果、梨切块，和香蕉、橙子做成“每日鲜切拼盘”，按一杯4-6元卖，往往能瞬间清空。
3.  **硬指标**：设定一个**库存红线**（例如水果总库存不得超过2天销售额）。每周一、周四早晨盘点，一旦超线，无论多亏，当天必须打折清出去，绝不能留到周末。

### 五、数据进阶（能省力就省力）
如果超市有收银系统，只需要看两个数据：
-   **每天的出货量**（卖了几斤）。
-   **毛利率**（如果某种水果毛利率降到20%以下，说明它在压货，立刻停止进货该品种1周观察）。

**总结口诀**：**勤进快销、看天订货、坏果必拣、超5天必清、搭配鲜切。** 只要坚持这五条，库存和损耗基本能控制在8%以内。不用担心“清仓亏本”，**清仓亏的是本金，滞销烂掉亏的是全部利润**，两害相权取其轻。
