如果单位采购的水果到货品质不一致，建议按以下步骤进行验收和售后处理：

### 一、验收流程
1. **现场外观检查**：在卸货前，随机抽取至少10%-20%的样品（如大件水果可抽查5-10箱），观察是否存在明显腐烂、霉变、机械损伤（压痕、擦伤）、大小或成熟度明显不一致的情况。
2. **称重核对**：确认总重量或数量与采购订单一致，避免明显短斤少两。
3. **拍照/录像留证**：对“品质不一致”的批次（如部分青涩、部分过熟、部分带病斑）进行特写和全景拍照，建议在自然光下拍摄，最好能拍到包装标记（如箱体编号、供应商名称）。
4. **记录细节**：填写验收单，明确标注不合格品数量、问题类型（如“30%过熟”“5%腐烂”），并由双方（采购方、送货方）签字确认。

### 二、售后处理（分场景应对）
- **轻微不一致（比例低于5%，且不影响整体使用）**：可与供应商协商折价处理（如打8折），或在结算时扣除部分款项。
- **明显问题（比例超过10%或存在安全隐患，如霉变）**：立即拒收全部或部分货物，要求供应商更换同批次合格产品。如供应商坚持不换，可要求出具第三方检测报告（如当地检疫部门），并暂扣货款。
- **分批混装不同品种/规格**：要求供应商按采购合同中的规格标准重新分拣，并承担分拣费用和运输延误赔偿。
- **合同中已有明确售后条款**：直接引用条款（如“到货不合格品24小时内反馈，供应商需在48小时内补发”），通过邮件或书面通知供应商，保留反馈时间证据（截图、签收回执）。

### 三、预防后续问题
- 更新采购合同，明确“到货品质一致性”的量化标准（如“同一箱内水果直径偏差不超过1cm”“成熟度需在80%-90%之间”），并注明验收时的抽样比例和处理时效。
- 建议单位采购时优先选择可退换的供应商，或与本地固定供应商签订“品质保底协议”（如每批次留货押金，不合格则扣除）。

如果供应商拒绝协商，可向当地市场监管部门或消费者协会投诉，附上验收单、照片、通话记录等证据。
