第一次试单的核心原则是：**少量多品、快进快出、测试动销**。针对香蕉、苹果、橙子这三种常见货，建议按以下步骤操作：

---

### 1. 香蕉：风险最高，必须“压价+限量”
- **试单量**：1-2箱（约13-15公斤/箱）。
- **操作要点**：
  - **找批发市场熟客**：不要找产地直发（损耗大），直接去当地水果批发市场找卖进口蕉或海南蕉的档口。
  - **验收标准**：选**青黄相间、七成熟**的货，捏起来硬实，不要全黄或带黑点的（易烂）。
  - **付款方式**：明确告知“第一次合作，先试单结清，后续稳定后账期”。要求对方**保底24小时无花皮/烂头**（香蕉运输容易压坏）。
  - **定价试水**：先按市场价卖，如果一天内卖不完，直接降价促销（香蕉放不过3天）。

### 2. 苹果：耐存放，重点测“口感+消费者偏好”
- **试单量**：2-3箱（约20斤/箱），选1-2个品种（比如红富士、嘎啦）。
- **操作要点**：
  - **找本地冷库或代理**：问清楚是否包退换（苹果外表擦伤不影响口感，但烂心必须退）。
  - **验货细节**：掰开看果肉是否发面（粉苹果口感差），尝一颗确认甜度。选**表皮粗糙、条纹明显的**（品种正）。
  - **试卖方式**：拆箱摆摊，拿几个切块让顾客试吃。记录“卖得快的是大果还是小果、甜的还是脆的”。
  - **定价策略**：定价先比超市低10%，如果试吃后转化率高，后续可提价。

### 3. 橙子：重点测“糖度+新鲜度”
- **试单量**：1-2箱（约30斤/箱），优先选**果蒂鲜绿、有清香气味**的。
- **操作要点**：
  - **避开产地**：橙子产地多（江西、湖南、四川），去批发市场找**有保鲜库**的档口，说“要当天到的新货”。
  - **验收标准**：捏一下果皮要有弹性（太硬是未熟，太软是放久了）。切一个测糖仪或尝一下，酸度明显的直接退换。
  - **保存技巧**：橙子怕捂，到货后立即拆箱通风，不要堆叠（否则容易从伤口处霉变）。

---

### 4. 通用试单流程（三步走）
1. **先试一家**：三家水果各找**1-2个档口**，每家只买最低起订量，不要押金、签合同。
2. **72小时验证**：
   - 24小时：看是否有大量腐烂（天然损耗<5%正常）。
   - 48小时：统计卖出量（如果卖不到进货量的1/3，说明定价或位置有问题）。
   - 72小时：处理尾货（降价、切果盒、做果汁）。
3. **复购判断**：哪些品种卖得快、损耗低、顾客回头率高，就锁定那家供货商；反之换下一家试。

---

### 5. 避坑提示
- **别信“包甜”**：所有水果商都会说甜，自己带糖度计（淘宝30元一个）测一下。
- **别囤货**：夫妻店首次试单，每天进货量**不超过当日预估销量的1.5倍**，卖完再补。
- **统一包装**：进价不同的果（比如精品果和通货），让供货商分装贴标，避免卖混了亏本。

**最终建议**：先找本地最大的果品批发市场，从3-5个档口分别拿最低量，自己记录损耗率和复购率，用两周时间淘汰掉不靠谱的供应商。
