关于佳农水果（佳农食品控股（集团）股份有限公司）的账期政策，属于企业内部商业条款，**没有公开统一的固定天数**。具体账期会根据合作渠道（商超、电商、批发市场、餐饮连锁等）、采购量、合作历史及信用评估动态调整。

**一般情况参考：**
- **新客户（首次合作）**：普遍采用**现款现货**或**预付定金+货到付款**模式，账期通常为0-30天。
- **老客户（合作超3-6个月）**：根据信誉和规模，账期可能在**30至60天**之间，部分大型连锁商超可能至90天。
- **特殊生鲜属性影响**：水果保质期短，因此相比冻品或干货，账期普遍偏短，以降低损耗和资金风险。

**关于新客户申请账期：**
**可以申请，但难度较大且需满足条件**。核心在于提供足够的信用证明：

1. **基本门槛**：需提供营业执照、法定代表人身份证、一般纳税人资格（如需开专票）、近半年银行流水或财务报表（证明经营稳定性）。
2. **增信措施（常见要求）**：
   - 缴纳一定比例的**保证金**（如货款总额的10%-30%）。
   - 提供**担保**（法人个人连带责任保证或第三方担保）。
   - 如果是上市公司或大型国企，需提供审计报告。
3. **合作方式建议**：
   - 首次合作建议先小批量现款合作1-2单，建立交易记录后，再向销售经理申请“部分账期（如付70%货到付清，30%月结）”。
   - 直接与大区销售负责人沟通，通常比客服更有效。

**特别提醒：**
- 佳农对催收较严，逾期会立即停止供货并影响后续合作。
- 建议登录“佳农官网”或致电其官方销售热线（400-820-5611）确认当前最新政策，业务员口径可能因区域不同有差异。
- 切勿相信网上流传的“固定45天账期”等说法，那通常是特定渠道的历史案例。
