关于便利店小包装香蕉，**鑫荣懋**和**都乐**都有适合的规格，且考虑到便利店的动销和损耗，一般以**单根装**或**2-3根装**为主。

**鑫荣懋（Joyvio）**：
- 其旗下有定位精品水果的“佳沃”品牌，也有面向商超的鑫荣懋系列。
- 常见规格：**小包装多为2根或3根装**，净含量在**400g-500g**之间，通常采用透明托盘+保鲜膜包装。
- 也有**单根装**（带品牌标识的贴纸或网袋），克重约**120g-160g**。
- 建议直接联系当地鑫荣懋经销商询问是否有“鲜切/即食香蕉（小包装）”条码，部分区域会针对便利店供应“店中袋”产品。

**都乐（Dole）**：
- 都乐在零售端通常主推**大规格箱装**（如9kg、13kg商用装），但在精品超市和便利店线有**“都乐小黄人”系列**或**迷你香蕉**。
- 常见规格：**单根装真空/带扎带**，或者**2根装透明盒装**，净含量约**250g-300g**。
- 都乐也提供“即食催熟香蕉”，开箱即卖，适合便利店即买即食的场景。

**具体建议**：
1. 若便利店单店日销不高，优先选**3根装小盒**（约450g），售价约8-12元，鲜度易控制。
2. 若店面靠近写字楼/学校，建议选**单根装**，可搭配早餐或代餐场景。
3. 请务必联系两品牌的城市经销代理确认当地是否有此SKU，因为**不同区域铺货差异很大**，并非所有门店都有标准小包。

如需更精确的当地供应商电话或条码，建议你提供所在城市，我可以帮你检索公开的供货渠道信息。
