企业在采购水果礼盒作为员工福利时，选择供应商时，**需要重点考虑支持开发票和定制包装**。这两项不仅是财务合规和企业形象的要求，也是采购流程中常见的硬性条件。

具体建议如下：

**1. 必须支持开发票（增值税专用/普通发票）**
- **财务入账**：没有发票，采购款无法作为成本费用税前扣除，会导致税负增加。
- **合规审计**：企业福利费用需要凭证支撑，发票是审计审查的重点。
- **开票要求**：务必确认供应商能开具**增值税专用发票**（若需要抵扣进项税）或**普通发票**，且抬头、税号、商品类别（如“水果礼盒”）必须准确无误。
- **实操提示**：签订采购合同时，需明确约定开票时间（如发货后3-5个工作日内）、发票类型及邮寄方式。

**2. 定制包装（建议优先考虑）**
- **品牌或福利彰显**：定制包装（如印上公司LOGO、节日祝福语）能提升员工归属感和企业形象。
- **差异化需求**：部分公司需要按部门分装、附带贺卡或特定规格（如6种/8种水果混搭），定制包装可以满足这些需求。
- **成本权衡**：定制包装通常有起订量要求（如50份起），且会增加部分成本。如果员工人数较少，也可向供应商询问“通用高档礼盒+赠送贴纸/丝带”的方案，成本更低。

---

**采购决策时还需额外确认的3点：**

- **水果新鲜度与售后**：明确损耗赔付标准（如坏果包赔比例），避免福利发放后产生员工投诉。
- **配送与时效**：确认供应商是否能按指定日期、指定地点（如各分公司或员工家庭地址）配送，并明确是否承担运输损耗。
- **样盒验收**：在批量采购前，**强烈建议先要求供应商寄送样品**（含包装和水果实物/图片），验收水果规格、包装质量和LOGO印刷效果后再签合同。

**总结：** 开发票是底线要求（合同必须体现），**定制包装强烈建议选择**，但可结合预算灵活决策（如选择通用礼盒+简单LOGO贴纸）。若供应商无法满足以上任一要求，建议更换备选供应商，以免后续出现财务或员工体验问题。
