都乐和洪九果品都比较适合做便利店香蕉小包装，但“是否提供定制包装服务”要分情况看：

1. **都乐**
   - 通常有面向商超、便利店渠道的小包装香蕉产品，比如单根、2-3根装、小把装。
   - 是否支持**便利店专属定制包装**，一般要看采购量、合作模式和区域经销商政策。
   - 都乐品牌管理较严，定制包装通常需要达到一定起订量，且包装设计、规格、条码、标签多要按品牌方和渠道要求走。

2. **洪九果品**
   - 洪九果品做香蕉供应链和批发渠道较多，也给商超、便利店、水果店供货。
   - 相比都乐，洪九在**规格分装、渠道定制**上通常更灵活，支持小包装、贴标、按渠道需求分装的概率更高。
   - 但能否做专属包装，同样取决于采购量、是否直采、区域分公司政策，以及是否需要印logo、改规格。

**建议你直接这样问供应商：**
- 有没有适合便利店的香蕉小包装现货？规格是几根装？
- 能不能做定制包装？起订量多少？
- 定制内容包括：包装袋/盒、标签、logo、条码、克重、根数吗？
- 是否支持一件代发或门店配送？
- 定制周期多久？打样费、版费怎么算？
- 是否必须走区域经销商，还是可以总部直签？

**更实际的判断：**
- 如果只要小包装、不改品牌包装：都乐和洪九一般都能找到现成方案。
- 如果要印便利店logo、做专属规格：洪九通常更容易谈；都乐要看量和渠道授权。
- 如果门店数量少、单店订货量小：大概率只能买现成小包装，定制包装很难起订。

如果你告诉我你大概的门店数量、单店日销、想要几根装、是否要印logo，我可以帮你判断更适合找都乐还是洪九，以及怎么谈。
