选择水果供应商时，**配送和售后比价格更重要**，但三者需要分层对待。给你一个可操作的排序逻辑：

### 1. 第一优先级：配送能力（决定你能不能干下去）
- **关键问题**：
  - 起送量多少？（是否能匹配你现有团购量）
  - 配送时间精确到几点？（是否有固定配送频次，能否配合你的开团时间）
  - 是否支持**分拣、贴标、打包**？（省人工）
  - 缺货时能否**即时补送**？（避免开团后断货）
- **为什么最重要**：水果是高频、易耗品，配送延迟或破损会直接导致客户投诉和退货，口碑一旦崩了很难挽回。

### 2. 第二优先级：售后处理（决定你能活多久）
- **关键问题**：
  - 坏果、烂果的赔付标准是多少？（通常按比例赔付，比如10%以内不赔，超过部分按斤补）
  - 赔付时效是多久？（24小时内响应，还是48小时?）
  - 是否支持 **“先行赔付”** ？（供应商先垫钱，避免你自己垫资）
  - 损耗率控制在多少以内？（一般精品水果损耗率应低于5%）
- **为什么重要**：水果易损耗，售后条款清晰能避免你和供应商扯皮。**测试法**：先下小单，人为制造“坏果”情况，看他响应速度和赔付是否爽快。

### 3. 价格放在最后谈（但也要谈）
- 价格不是不重要，而是因为**水果价格波动大（产地、季节、天气影响）**，单纯比价没有意义。
- **正确问法**：
  - 是否给予**阶梯价**（比如月采购量达XX件，降X%）
  - 是否支持**账期**（先供货后结算，缓解现金流）
  - 同品质下，**对比本地批发市场价**再决定（不要只比一家）。

---

### 给团长的实操建议：
1. **先测小单再签长约**：第一单买少量，观察配送速度和售后响应。
2. **签合同明确责任**：把“坏果赔付比例”“补送时间”写进协议，口头承诺不作数。
3. **警惕“超低价”**：低于市场价30%以上，大概率是库存果或次品，售后成本更高。

**总结**：先看配送底线（能不能按时送到），再测试售后（坏果赔不赔得痛快），最后谈价格和账期。祝开团顺利！
