关于你问的“都乐（Dole）”和“鑫荣懋（Golden Wing Mau）”能否提供菠萝原料的农残检测报告，直接回答是：**大概率可以，且行业里通常都会提供，但需要走对流程。**

具体说明如下：

1. **供应商常规能力**  
   - 都乐（Dole）是全球大型果蔬企业，鑫荣懋是国内头部果品供应链公司。两者作为B端和C端均有供应的品牌，**一般都具备完善的品控体系和第三方检测能力**。  
   - 针对茶饮、餐饮等企业客户，供货给连锁品牌时，**提供农残报告是基础资质文件**（通常包含在“商品资质”或“批次COA”中），否则很难进入大型茶饮品牌的供应商名录。

2. **是否能“直接拿到”取决于采购渠道**  
   - **如果走官方B2B渠道或大客户部**：他们通常可提供**批次农残快检报告**或**权威机构（如SGS、华测、谱尼等）的第三方检测复印件**，一般免费提供。  
   - **如果通过批发市场、档口或二级经销商**：小档口可能没有或不愿提供，但你可以要求上游供货商从源头（工厂/产地）调取原件或背书。

3. **你需要做的操作**  
   - **明确要求**：在下单前，直接问对接的业务员或客户经理：“请提供本批次菠萝的农残检测报告（最好含多菌灵、吡虫啉、毒死蜱等茶饮常查项）。”  
   - **索取电子版原件**：要求盖章或提供可查询的检测报告编号，如果只给照片，注意核对报告日期是否与本批次吻合。  
   - **补充动作**：如果对方仅提供快检（如酶抑制率法），而你用于门店合规或品牌审查，建议要求**第三方GC-MS/LC-MS定量报告**（例如SGS出具），费用若产生，可协商分摊。

4. **特别注意**  
   菠萝是热带水果，通常农残风险相对低于叶菜，但**都乐和鑫荣懋在批发/零售环节不保证每箱都有纸质报告**，因为报告是按批次的。如果对方说“没有”，大概率是沟通问题——可以要求他们找驻产地品控或质检部门调取对应批次的电子档。

**最终结论**：可以拿到，但需要走正式采购渠道或与业务代表明确索要。如果对方以“内部数据”为由推脱，那你就该考虑更换采购对象，因为茶饮店做农残管控是底线要求。
